promotion_id,country,cycle,N��mero de eve
4e47b85a-845a-4be7-b091-6d8cae14f175,AR,202604,28450
b1dde1ee-cb01-4e05-b9be-dd9c3b012a51,AR,202604,10676
a091a5a0-181d-4f1a-81b1-f8b891384a7c,AR,202604,6875
fcfd99a5-865a-41ad-ba54-8789b428fa02,AR,202604,5429
0ba108f6-8575-447c-902e-346a0e67a8dd,AR,202605,5291
374896f3-cdce-4da9-a5de-2dbdae65d9aa,AR,202603,5052
d8f0dc42-d9f8-40bf-b81c-6c432ccbc629,AR,202603,3677
51fb3034-d9ae-4221-a224-1854d053cbc2,AR,202605,3562
e713473c-3732-4c30-993a-d60db7bfaa0c,AR,202605,2806
0eec4ce5-7c0f-42fc-bd53-acc1fecb69d5,AR,202603,2335
5837b5d3-8e5b-40b4-807a-9d9d0e871d5a,AR,202604,1739
027dc446-5f38-4074-93fb-02283ce1b16a,AR,202605,1640
69cc5541-71fc-4989-8ab3-ca699765728b,AR,202604,1144
79cea878-5612-46e1-bfec-a0963db1092b,AR,202604,1118
6bb41c0d-d362-4222-8cec-2c9d4fe047b6,AR,202604,738
662bf873-e3a9-4b6a-8616-0f112c122da7,AR,202603,673
c893d271-d97c-4229-b032-91e50a14cf0a,AR,202605,438
56ac2543-faa3-4ae2-a438-e0c9249ad0b3,AR,202603,376
fcb68cd2-03f7-4d67-9bd4-caa7254aa44b,AR,202603,363
6d57d25b-4178-4276-9992-72f51f4a0a0b,AR,202605,344
4e47b85a-845a-4be7-b091-6d8cae14f175,AR,202603,236
7f5ed361-a4f6-4615-a205-c2c33639ef09,AR,202605,229
1fd06894-a445-49cf-9345-54f1c8373b22,AR,202605,216
b4612ec3-f2b2-48ad-b9f5-691e21934dde,AR,202603,186
3dbc8a77-5448-4d76-b448-aff0a8db4e46,AR,202604,156
f9c8fdf3-3b53-4e6a-8e6e-752c766257ff,AR,202605,156
b8a49c30-661b-4228-b86b-047251857b31,AR,202604,131
b1dde1ee-cb01-4e05-b9be-dd9c3b012a51,AR,202603,118
0ba108f6-8575-447c-902e-346a0e67a8dd,AR,202604,115
a82c9b73-e0fd-4bd5-ac79-d8c69eb864ee,AR,202605,110
24f27cfb-a86f-4156-bc24-6cf05e0bde60,AR,202605,109
3157e77a-1baa-4405-a144-112e315b2d7c,AR,202605,99
c6743a7c-099a-4c2d-8fb8-95cd695ebb58,AR,202603,62
9555362d-eaa3-4598-969a-6998c1331239,AR,202605,59
(not set),AR,202604,58
51fb3034-d9ae-4221-a224-1854d053cbc2,AR,202604,50
e713473c-3732-4c30-993a-d60db7bfaa0c,AR,202604,45
a091a5a0-181d-4f1a-81b1-f8b891384a7c,AR,202603,40
027dc446-5f38-4074-93fb-02283ce1b16a,AR,202604,39
f03b1932-254f-4453-9f72-393071decf6b,AR,202605,38
4e47b85a-845a-4be7-b091-6d8cae14f175,AR,202605,29
(not set),AR,202603,15
(not set),AR,202605,14
bb4f6f80-d171-413e-a603-7080b07f6b27,AR,202603,12
a091a5a0-181d-4f1a-81b1-f8b891384a7c,AR,202605,10
a4263072-d86a-4a05-b43f-db8219873ab6,AR,202604,10
c893d271-d97c-4229-b032-91e50a14cf0a,AR,202604,10
56ac2543-faa3-4ae2-a438-e0c9249ad0b3,AR,202604,7
69cc5541-71fc-4989-8ab3-ca699765728b,AR,202603,7
832f7406-6a2c-499a-89bc-49d8d0f1f095,AR,202604,7
bb4f6f80-d171-413e-a603-7080b07f6b27,AR,202604,7
5837b5d3-8e5b-40b4-807a-9d9d0e871d5a,AR,202603,6
6664290b-5a95-4938-a362-d13c2e117c18,AR,202603,6
91f3b904-1785-4fc8-bd9e-c8fa0dd94fbf,AR,202603,6
b1dde1ee-cb01-4e05-b9be-dd9c3b012a51,AR,202605,6
39b64cf8-a5a2-414d-b2e2-768e87dd40c4,AR,202604,5
4699a533-3e43-4e14-938c-23e5b34b92d0,AR,202604,5
57f50729-cda0-4395-9c9d-2a8cdde382d7,AR,202604,5
88b47096-496f-47f8-9ede-7b9490513c29,AR,202605,5
9b00a596-8b81-4312-8b10-b42f16dffb1f,AR,202604,5
9b249faf-bece-492a-bcb7-7bc366424a38,AR,202605,5
6d57d25b-4178-4276-9992-72f51f4a0a0b,AR,202604,4
9707de0d-aaf1-48ad-ad64-712f1d707916,AR,202604,4
b8a49c30-661b-4228-b86b-047251857b31,AR,202603,4
d0dcdf53-ba20-4029-9203-1bde88717148,AR,202604,4
0b9c139a-b9ec-4a16-807b-d8b17a022b22,AR,202604,3
0ebc1b39-048e-4677-8970-bee706cdb41b,AR,202605,3
374896f3-cdce-4da9-a5de-2dbdae65d9aa,AR,202604,3
79cea878-5612-46e1-bfec-a0963db1092b,AR,202603,3
9b00a596-8b81-4312-8b10-b42f16dffb1f,AR,202603,3
d8f0dc42-d9f8-40bf-b81c-6c432ccbc629,AR,202604,3
0e262181-360e-4e25-bcfb-53ba17d6cae2,AR,202604,2
24f27cfb-a86f-4156-bc24-6cf05e0bde60,AR,202604,2
a4263072-d86a-4a05-b43f-db8219873ab6,AR,202603,2
0e3ce7cd-f81a-4474-ab10-93dacbe79d8d,AR,202605,1
1c23a514-f5c4-40e7-bdb4-8b5a61beb861,AR,202603,1
1fd06894-a445-49cf-9345-54f1c8373b22,AR,202604,1
212d62d7-2c71-4f41-a041-2bd5f6b26481,AR,202604,1
22142c1c-b28b-44d8-ab32-33d847bcf8c8,AR,202604,1
2b6de2d3-aa77-4f6d-aa8b-9d9e698e2956,AR,202603,1
3157e77a-1baa-4405-a144-112e315b2d7c,AR,202604,1
3c091753-5b71-4f9a-b73f-86f13c3e8473,AR,202604,1
3dbc8a77-5448-4d76-b448-aff0a8db4e46,AR,202603,1
4699a533-3e43-4e14-938c-23e5b34b92d0,AR,202603,1
526db00c-0ba7-475e-be9a-5d8cf5918224,AR,202603,1
526db00c-0ba7-475e-be9a-5d8cf5918224,AR,202604,1
5b9a0bea-dc4d-4de0-960a-6d68ad1a0867,AR,202604,1
5c42dd91-635e-4dba-bb4e-c6597a996425,AR,202604,1
5d98f039-16ea-47b4-83f6-26d589960305,AR,202604,1
5d98f039-16ea-47b4-83f6-26d589960305,AR,202605,1
5dc415e2-cacb-456d-b1cf-28179292d1ea,AR,202605,1
